card_code,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rfm_sum,segment
2719000206753.0,30,8,8055.0,3,4,2,342,9,Loyal
2719000206760.0,13,10,21196.06,4,4,4,444,12,Champions
2719000206784.0,177,4,3800.0,1,3,1,131,5,At Risk
2719000206791.0,31,4,6960.0,3,3,2,332,8,Potential
2719000206807.0,19,2,7495.0,4,1,2,412,7,Potential
2719000206814.0,16,9,35185.86,4,4,4,444,12,Champions
2719000206838.0,10,5,17235.0,4,3,3,433,10,Loyal
2719000206869.0,8,7,18495.0,5,4,3,543,12,Champions
2719000206876.0,13,27,69958.34,4,5,5,455,14,Champions
2719000206890.0,15,8,68720.0,4,4,5,445,13,Champions
2719000206906.0,32,18,62796.84,3,5,5,355,13,Champions
2719000206944.0,14,15,41110.0,4,5,5,455,14,Champions
2719000206951.0,106,4,46805.0,2,3,5,235,10,Loyal
2719000206968.0,6,14,22135.0,5,5,4,554,14,Champions
2719000206975.0,2,12,25138.16,5,4,4,544,13,Champions
2719000207002.0,153,1,24040.0,1,1,4,114,6,Potential
2719000208016.0,53,7,18240.0,2,4,3,243,9,Loyal
2719000208023.0,34,8,35588.54,3,4,4,344,11,Loyal
2719000208078.0,5,3,8305.6,5,2,2,522,9,Loyal
2719000208085.0,56,5,12207.710000000001,2,3,3,233,8,Potential
2719000208092.0,30,61,314953.95,3,5,5,355,13,Champions
2719000208122.0,116,2,14120.0,1,1,3,113,5,At Risk
2719000208139.0,19,8,15340.0,4,4,3,443,11,Loyal
2719000208153.0,3,9,27455.0,5,4,4,544,13,Champions
2719000208184.0,2,7,15620.0,5,4,3,543,12,Champions
2719000208191.0,97,7,21820.47,2,4,4,244,10,Loyal
2719000208207.0,3,12,32340.0,5,4,4,544,13,Champions
2719000208214.0,54,5,22310.0,2,3,4,234,9,Loyal
2719000208238.0,154,2,15742.44,1,1,3,113,5,At Risk
2719000208252.0,37,8,27053.6,3,4,4,344,11,Loyal
2719000208283.0,47,10,16897.36,3,4,3,343,10,Loyal
2719000208290.0,28,6,25851.559999999998,3,3,4,334,10,Loyal
2719000208306.0,1,15,128707.3,5,5,5,555,15,Champions
2719000208320.0,106,2,8290.0,2,1,2,212,5,At Risk
2719000208337.0,28,3,3380.0,3,2,1,321,6,Potential
2719000208344.0,7,19,51705.0,5,5,5,555,15,Champions
2719000208351.0,85,2,3620.0,2,1,1,211,4,At Risk
2719000208382.0,82,2,9170.0,2,1,2,212,5,At Risk
2719000208399.0,224,1,1590.0,1,1,1,111,3,Lost
2719000208405.0,196,1,1277.81,1,1,1,111,3,Lost
2719000208429.0,148,1,800.0,1,1,1,111,3,Lost
2719000208450.0,106,1,1100.0,2,1,1,211,4,At Risk
2719000208467.0,28,4,7533.5,3,3,2,332,8,Potential
2719000208474.0,69,5,3697.0,2,3,1,231,6,Potential
2719000208481.0,188,1,2670.0,1,1,1,111,3,Lost
2719000208498.0,8,2,9740.0,5,1,2,512,8,Potential
2719000208528.0,45,6,13085.0,3,3,3,333,9,Loyal
2719000208535.0,25,5,19129.45,3,3,3,333,9,Loyal
2719000208559.0,33,9,27701.0,3,4,4,344,11,Loyal
2719000208566.0,38,2,13380.0,3,1,3,313,7,Potential
2719000208573.0,3,7,140190.96,5,4,5,545,14,Champions
2719000208597.0,14,18,75486.36,4,5,5,455,14,Champions
2719000208610.0,65,1,4987.72,2,1,2,212,5,At Risk
2719000208627.0,10,6,18164.28,4,3,3,433,10,Loyal
2719000208658.0,4,2,7370.0,5,1,2,512,8,Potential
2719000208665.0,45,1,980.0,3,1,1,311,5,At Risk
2719000208672.0,82,6,18883.86,2,3,3,233,8,Potential
2719000208689.0,52,9,41680.15,3,4,5,345,12,Champions
2719000208719.0,24,7,56594.0,3,4,5,345,12,Champions
2719000208726.0,7,4,15200.0,5,3,3,533,11,Loyal
2719000208771.0,3,24,162128.99,5,5,5,555,15,Champions
2719000208788.0,12,11,68648.98,4,4,5,445,13,Champions
2719000208795.0,24,8,54439.32,3,4,5,345,12,Champions
2719000208801.0,152,2,5420.0,1,1,2,112,4,At Risk
